1,56,48,0.576329
2,43,36,0.341103
3,58,51,0.212567
4,54,48,0.431862
5,46,40,0.278076
6,76,62,0.16657
7,45,40,0.186096
8,49,41,0.226757
9,71,51,0.197601
10,59,47,0.187599
11,46,40,0.243425
12,72,56,0.213298
13,46,37,0.222778
14,41,37,0.188443
15,26,24,0.186471
16,72,58,0.224452
17,31,28,0.200656
18,72,58,0.169952
19,55,42,0.181443
20,60,50,0.157325
21,55,43,0.186396
22,63,48,0.228055
23,77,63,0.227631
24,45,41,0.225448
25,54,46,0.203837
26,65,55,0.178806
27,42,37,0.176279
28,31,30,0.100811
29,42,38,0.129665
30,59,48,0.189879
31,80,63,0.155007
32,66,54,0.135982
33,73,55,0.064461
34,82,61,0.078317
35,53,41,0.181917
36,76,57,0.214501
37,67,54,0.131218
38,44,36,0.134404
39,65,52,0.086883
40,62,52,0.09352
41,56,51,0.08946
42,43,38,0.138562
43,73,58,0.111805
44,70,52,0.254059
45,66,56,0.137935
46,50,48,0.11526
47,68,62,0.116791
48,60,50,0.13773
49,54,45,0.11287
50,37,33,0.121321
51,71,53,0.117613
52,51,38,0.101647
53,60,41,0.134
54,65,49,0.094279
55,44,41,0.116544
56,88,66,0.0776
57,64,51,0.095499
58,83,65,0.128794
59,48,41,0.11904
60,55,51,0.116661
61,82,60,0.479358
62,66,53,0.102155
63,39,36,0.101282
64,57,51,0.212862
65,66,54,0.122345
66,54,48,0.118454
67,41,35,0.110916
68,69,55,0.091339
69,64,50,0.108453
70,85,65,0.085577
71,42,35,0.080507
72,57,48,0.098001
73,44,42,0.102277
74,51,45,0.074467
75,92,71,0.08118
76,54,42,0.123026
77,26,23,0.094562
78,54,47,0.112836
79,51,43,0.123544
80,57,43,0.101218
81,49,39,0.100292
82,74,66,0.118607
83,43,33,0.104108
84,48,38,0.119998
85,65,54,0.091849
86,57,47,0.18307
87,70,55,0.120582
88,45,39,0.113911
89,84,73,0.076636
90,63,52,0.091607
91,86,71,0.080832
92,51,44,0.098807
93,68,55,0.083811
94,54,45,0.110879
95,45,42,0.064754
96,34,30,0.0865
97,56,50,0.094798
98,60,51,0.090364
99,74,56,0.097607
100,53,41,0.117592
101,61,49,0.146419
102,57,44,0.322167
103,74,56,0.09544
104,51,44,0.086337
105,64,45,0.102094
106,52,43,0.113436
107,47,41,0.058469
108,51,41,0.163174
109,76,63,0.093457
110,57,42,0.093027
111,56,47,0.099243
112,66,59,0.09478
113,70,57,0.086519
114,66,58,0.087889
115,56,48,0.121489
116,55,49,0.175595
117,80,57,0.109932
118,60,47,0.09164
119,62,47,0.108679
120,58,52,0.092527
121,62,46,0.092958
122,60,48,0.129443
123,48,43,0.164143
124,52,47,0.12137
125,59,51,0.058176
126,90,74,0.15349
127,61,46,0.094618
128,36,32,0.092798
129,40,35,0.131997
130,53,42,0.125216
131,63,52,0.103143
132,70,59,0.090273
133,67,58,0.110882
134,49,40,0.064791
135,50,40,0.156881
136,58,52,0.270219
137,34,29,0.263576
138,50,38,0.145451
139,57,48,0.082876
140,63,55,0.088267
141,67,56,0.078539
142,65,55,0.106211
143,58,53,0.11949
144,64,56,0.08189
145,66,49,0.090936
146,73,62,0.258249
147,56,46,0.135813
148,45,38,0.062482
149,68,53,0.068462
150,48,41,0.081612
151,36,35,0.112747
152,57,48,0.162164
153,65,50,0.09276
154,31,29,0.156927
155,43,37,0.297685
156,47,40,0.148406
157,46,41,0.221781
158,52,41,0.117861
159,33,32,0.093202
160,71,53,0.109069
161,50,43,0.067107
162,82,65,0.120665
163,30,28,0.113808
164,69,58,0.227383
165,76,56,0.05713
166,54,44,0.083037
167,86,65,0.084576
168,75,55,0.17148
169,36,33,0.115884
170,68,53,0.097591
171,63,52,0.104548
172,55,42,0.098186
173,40,33,0.084658
174,63,54,0.102606
175,67,52,0.167073
176,49,35,0.172097
177,56,48,0.126931
178,89,64,0.086275
179,38,31,0.111739
180,42,36,0.151438
181,54,42,0.110657
182,87,67,0.124223
183,58,50,0.105682
184,58,53,0.120387
185,47,40,0.14815
186,79,63,0.167786
187,77,65,0.066975
188,66,50,0.058437
189,59,50,0.122906
190,65,50,0.073284
191,61,49,0.065854
192,42,36,0.1638
193,81,66,0.089303
194,85,68,0.181195
195,27,26,0.1188
196,49,39,0.392724
197,80,62,0.247304
198,38,27,0.207463
199,34,30,0.112354
200,25,24,0.253523
201,24,24,0.082694
202,63,51,0.10595
203,46,36,0.103391
204,71,62,0.082303
205,58,51,0.08603
206,64,51,0.131734
207,74,57,0.075292
208,59,46,0.089642
209,62,50,0.073682
210,51,42,0.109242
211,84,60,0.108112
212,45,38,0.107072
213,67,51,0.112873
214,66,50,0.062189
215,57,49,0.125763
216,58,46,0.111587
217,56,43,0.099629
218,70,52,0.218003
219,50,42,0.23441
220,41,36,0.151763
221,53,47,0.095981
222,69,49,0.196618
223,63,49,0.110635
224,70,51,0.108524
225,71,56,0.108998
226,65,51,0.235799
227,35,30,0.105938
228,61,51,0.087359
229,54,45,0.124778
230,54,47,0.069766
231,100,77,0.354583
232,69,57,0.090892
233,60,46,0.097713
234,43,35,0.078171
235,49,43,0.188344
236,53,39,0.097711
237,55,42,0.078891
238,70,54,0.14163
239,39,35,0.087203
240,49,36,0.078524
